time,open,high,low,close,signal,SMA:10,SMA:2,10-2 crossover,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,
2018-02-05T02:02:00.000,1.2449,1.24498,1.24471,1.24477,-1.0,1.245219,1.2448199999999998,-3.9900000000026026E-4,0.7475728155338571,0.8155339805824091,0.6019417475728281,0.5048543689320703,0.4854368932037893,0.5048543689320703,0.47572815533986446,0.5922330097086876,0.15533980582516946,0.0582524271844116,
2018-02-05T02:04:00.000,1.24477,1.24534,1.24477,1.24532,-1.0,1.245203,1.245045,-1.580000000001025E-4,0.8155339805824091,0.6019417475728281,0.5048543689320703,0.4854368932037893,0.5048543689320703,0.47572815533986446,0.5922330097086876,0.15533980582516946,0.0582524271844116,0.5922330097086876,
2018-02-05T02:06:00.000,1.24533,1.24533,1.24505,1.24517,1.0,1.245165,1.2452450000000002,8.000000000008001E-5,0.7126436781610545,0.5977011494254252,0.5747126436781462,0.5977011494254252,0.563218390804762,0.701149425287415,0.18390804597695576,0.0689655172413265,0.701149425287415,0.5287356321840987,
2018-02-05T02:08:00.000,1.24517,1.24533,1.24511,1.24527,1.0,1.2451590000000001,1.2452200000000002,6.100000000008876E-5,0.7647058823530373,0.7352941176469627,0.7647058823530373,0.7205882352942521,0.8970588235293926,0.23529411764696279,0.08823529411757022,0.8970588235293926,0.676470588235467,0.8235294117648595,
2018-02-05T02:10:00.000,1.24526,1.24546,1.24514,1.24534,1.0,1.2451699999999999,1.245305,1.3500000000021828E-4,0.6666666666665679,0.6933333333334083,0.6533333333334439,0.8133333333333017,0.21333333333324253,0.07999999999992895,0.8133333333333017,0.6133333333334794,0.7466666666667929,0.8399999999998461,
2018-02-05T02:12:00.000,1.24536,1.24624,1.2452,1.24613,1.0,1.245262,1.2457349999999998,4.7299999999972364E-4,0.33986928104579434,0.3202614379085565,0.3986928104575078,0.10457516339865013,0.03921568627447566,0.3986928104575078,0.30065359477131864,0.36601307189549315,0.41176470588228464,0.9281045751633645,
2018-02-05T02:14:00.000,1.24615,1.24625,1.24586,1.24596,1.0,1.245335,1.246045,7.099999999999884E-4,0.3181818181818641,0.3961038961038708,0.10389610389605708,0.038961038961003384,0.3961038961038708,0.29870129870136236,0.36363636363641605,0.4090909090908239,0.922077922077849,0.8116883116882433,
2018-02-05T02:16:00.000,1.24597,1.24598,1.24577,1.24577,1.0,1.245392,1.245865,4.729999999999457E-4,0.3961038961038708,0.10389610389605708,0.038961038961003384,0.3961038961038708,0.29870129870136236,0.36363636363641605,0.4090909090908239,0.922077922077849,0.8116883116882433,0.6883116883116845,
2018-02-05T02:18:00.000,1.24575,1.24583,1.24564,1.24569,1.0,1.245429,1.24573,3.0100000000010674E-4,0.10389610389605708,0.038961038961003384,0.3961038961038708,0.29870129870136236,0.36363636363641605,0.4090909090908239,0.922077922077849,0.8116883116882433,0.6883116883116845,0.636363636363584,
2018-02-05T02:20:00.000,1.2457,1.24579,1.24543,1.24557,1.0,1.245499,1.24563,1.3100000000010326E-4,0.038961038961003384,0.3961038961038708,0.29870129870136236,0.36363636363641605,0.4090909090908239,0.922077922077849,0.8116883116882433,0.6883116883116845,0.636363636363584,0.5584415584415772,
2018-02-05T02:22:00.000,1.24557,1.24557,1.24518,1.24533,-1.0,1.245555,1.24545,-1.0500000000002174E-4,0.3716216216216186,0.27027027027036354,0.33783783783791693,0.38513513513506925,0.9189189189188459,0.8040540540539902,0.6756756756756838,0.6216216216215811,0.540540540540577,0.3783783783784189,
2018-02-05T02:24:00.000,1.24534,1.24576,1.2451,1.24513,-1.0,1.245536,1.24523,-3.0599999999991745E-4,0.10000000000009251,0.18333333333341043,0.24166666666656644,0.8999999999999074,0.7583333333332485,0.6,0.5333333333332717,0.43333333333336416,0.23333333333336417,0.06666666666672835,
2018-02-05T02:26:00.000,1.24512,1.24512,1.24453,1.24454,-1.0,1.245473,1.2448350000000001,-6.379999999999164E-4,0.43023255813960093,0.470930232558081,0.9302325581394718,0.8313953488371537,0.7209302325581456,0.6744186046511268,0.6046511627907277,0.46511627906980046,0.3488372093023826,0.005813953488409621,
2018-02-05T02:28:00.000,1.24453,1.24497,1.24453,1.24484,-1.0,1.24543,1.2446899999999999,-7.40000000000185E-4,0.470930232558081,0.9302325581394718,0.8313953488371537,0.7209302325581456,0.6744186046511268,0.6046511627907277,0.46511627906980046,0.3488372093023826,0.005813953488409621,0.1802325581395364,
2018-02-05T02:30:00.000,1.24483,1.24523,1.24483,1.24499,-1.0,1.245395,1.244915,-4.8000000000003595E-4,0.9302325581394718,0.8313953488371537,0.7209302325581456,0.6744186046511268,0.6046511627907277,0.46511627906980046,0.3488372093023826,0.005813953488409621,0.1802325581395364,0.2674418604651643,
2018-02-05T02:32:00.000,1.24501,1.24517,1.24498,1.24506,-1.0,1.245288,1.245025,-2.629999999999022E-4,0.8313953488371537,0.7209302325581456,0.6744186046511268,0.6046511627907277,0.46511627906980046,0.3488372093023826,0.005813953488409621,0.1802325581395364,0.2674418604651643,0.3081395348837735,
2018-02-05T02:34:00.000,1.24507,1.24507,1.24457,1.24487,-1.0,1.245179,1.244965,-2.1399999999993646E-4,0.8551724137930907,0.7999999999999388,0.7172413793103638,0.5517241379310609,0.4137931034483339,0.006896551724182287,0.21379310344827268,0.3172413793103945,0.3655172413793642,0.23448275862066642,
2018-02-05T02:36:00.000,1.24488,1.24518,1.2446,1.24473,-1.0,1.245075,1.2448,-2.750000000000252E-4,0.8923076923076766,0.8000000000000683,0.615384615384681,0.4615384615385535,0.00769230769235762,0.23846153846154897,0.35384615384623,0.4076923076923918,0.261538461538451,0.15384615384612757,
2018-02-05T02:38:00.000,1.24472,1.24483,1.24446,1.24465,-1.0,1.244971,1.2446899999999999,-2.8100000000019776E-4,0.8345864661655051,0.6541353383459501,0.5037593984963485,0.060150375939907366,0.28571428571430957,0.39849624060159416,0.45112781954897135,0.3082706766917331,0.20300751879697868,0.14285714285723825,
